N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
251;natallyFile_226_C60700xV3700;224590000;60700;3700;13690000;6843150;6841051;2099;1;0;7;38;40;0.95;1;1;6843150;6843150;0;1;0
252;natallyFile_227_C18200xV9700;176540000;18200;9700;94090000;47040150;47020141;20009;1;0;7;38;40;0.95;1;1;47040150;47040150;0;1;0
253;natallyFile_228_C82900xV2400;198960000;82900;2400;5760000;2878800;2871601;7199;1;0;7;38;40;0.95;1;1;2878800;2878800;0;1;0
254;natallyFile_229_C44600xV8800;392480000;44600;8800;77440000;38715600;38710471;5129;1;0;7;38;40;0.95;1;1;38715600;38715600;0;1;0
255;natallyFile_230_C32900xV4400;144760000;32900;4400;19360000;9677800;9665791;12009;1;0;7;38;40;0.95;1;1;9677800;9677800;0;1;0
256;natallyFile_231_C34500xV7200;248400000;34500;7200;51840000;25916400;25915391;1009;1;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
257;natallyFile_232_C96200xV4800;461760000;96200;4800;23040000;11517600;11515591;2009;0.9998;0;7;38;40;0.95;1;1;11517600;11517600;0;1;0
258;natallyFile_233_C60700xV3700;224590000;60700;3700;13690000;6843150;6841051;2099;1;0;7;38;40;0.95;1;1;6843150;6843150;0;1;0
259;natallyFile_234_C60200xV8600;517720000;60200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
260;natallyFile_235_C34200xV8600;294120000;34200;8600;73960000;36975700;36964601;11099;1;0;7;38;40;0.95;1;1;36975700;36975700;0;1;0
261;natallyFile_236_C42100xV8400;353640000;42100;8400;70560000;35275800;35235501;40299;0.9989;0;7;38;40;0.95;1;1;35275800;35275800;0;1;0
262;natallyFile_237_C22500xV8200;184500000;22500;8200;67240000;33615900;33610301;5599;1;0;7;38;40;0.95;1;1;33615900;33615900;0;1;0
263;natallyFile_238_C59000xV6100;359900000;59000;6100;37210000;18601950;18500100;101850;0.995;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
264;natallyFile_239_C41900xV2200;92180000;41900;2200;4840000;2418900;2411649;7251;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
265;natallyFile_240_C78200xV5200;406640000;78200;5200;27040000;13517400;13514300;3100;1;0;7;38;40;0.95;1;1;13517400;13517400;0;1;0
266;natallyFile_241_C82900xV2400;198960000;82900;2400;5760000;2878800;2871679;7121;1;0;7;38;40;0.95;1;1;2878800;2878800;0;1;0
267;natallyFile_242_C18200xV9700;176540000;18200;9700;94090000;47040150;47020149;20001;1;0;7;38;40;0.95;1;1;47040150;47040150;0;1;0
268;natallyFile_243_C60700xV3700;224590000;60700;3700;13690000;6843150;6841051;2099;1;0;7;38;40;0.95;1;1;6843150;6843150;0;1;0
269;natallyFile_244_C61700xV2200;135740000;61700;2200;4840000;2418900;2413569;5331;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
270;natallyFile_245_C56000xV1800;100800000;56000;1800;3240000;1619100;1613991;5109;1;0;7;38;40;0.95;1;1;1619100;1619100;0;1;0
271;natallyFile_246_C47300xV1800;85140000;47300;1800;3240000;1619100;1613991;5109;1;0;7;38;40;0.95;1;1;1619100;1619100;0;1;0
272;natallyFile_247_C59500xV5800;345100000;59500;5800;33640000;16817100;16716991;100109;0.994;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
273;natallyFile_248_C60600xV6700;406020000;60600;6700;44890000;22441650;22430151;11499;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
274;natallyFile_249_C22800xV3800;86640000;22800;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
275;natallyFile_154_C61700xV2200;135740000;61700;2200;4840000;2418900;2411649;7251;1;0;7;38;40;0.95;1;1;2418900;2418900;0;1;0
276;natallyFile_155_C56000xV1800;100800000;56000;1800;3240000;1619100;1607199;11901;0.99;0.01;7;38;40;0.95;1;1;1619100;1619100;0;1;0
277;natallyFile_160_C41300xV6100;251930000;41300;6100;37210000;18601950;18500100;101850;0.99;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
278;natallyFile_161_C59500xV5800;345100000;59500;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
279;natallyFile_163_C60600xV6700;406020000;60600;6700;44890000;22441650;22431401;10249;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
280;natallyFile_164_C31300xV6700;209710000;31300;6700;44890000;22441650;22431401;10249;1;0;7;38;40;0.95;1;1;22441650;22441650;0;1;0
281;natallyFile_166_C22800xV3800;86640000;22800;3800;14440000;7218100;7216799;1301;1;0;7;38;40;0.95;1;1;7218100;7218100;0;1;0
282;natallyFile_167_C20600xV9000;185400000;20600;9000;81000000;40495500;40491501;3999;0.9999;0;7;38;40;0.95;1;1;40495500;40495500;0;1;0
283;natallyFile_168_C60200xV500;30100000;60200;500;250000;124750;124251;499;1;0;7;38;40;0.95;1;1;124750;124750;0;1;0
284;natallyFile_170_C76800xV3300;253440000;76800;3300;10890000;5443350;5441101;2249;1;0;7;38;40;0.95;1;1;5443350;5443350;0;1;0
285;natallyFile_171_C18900xV5900;111510000;18900;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
286;natallyFile_172_C18900xV5900;111510000;18900;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
287;natallyFile_175_C31300xV4900;184670000;31300;5900;34810000;17402050;17391545;10505;1;0;7;38;40;0.95;1;1;17402050;17402050;0;1;0
288;natallyFile_176_C50400xV6600;332640000;50400;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
289;natallyFile_179_C50400xV6600;332640000;50400;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
290;natallyFile_179_C33200xV3900;129480000;33200;3900;15210000;7603050;7601600;1450;1;0;7;38;40;0.95;1;1;7603050;7603050;0;1;0
291;natallyFile_181_C71300xV3500;249550000;71300;3500;12250000;6123250;6111250;12000;1;0;7;38;40;0.95;1;1;6123250;6123250;0;1;0
292;natallyFile_183_C6700xV6500;435500000;67000;6500;42250000;21121750;21110599;11151;1;0;7;38;40;0.95;1;1;21121750;21121750;0;1;0
293;natallyFile_184_C23900xV5100;121890000;23900;5100;26010000;13002450;13000100;2350;1;0;7;38;40;0.95;1;1;13002450;13002450;0;1;0
